Color,Count,Percentage,Year
#000000,152,27.191413237924866,2022
#ffffff,127,22.719141323792485,2022
#010101,26,4.651162790697675,2022
#020202,10,1.7889087656529516,2022
#000002,8,1.4311270125223614,2022
#00000a,6,1.073345259391771,2022
#050100,6,1.073345259391771,2022
#000004,6,1.073345259391771,2022
#010103,6,1.073345259391771,2022
#090909,6,1.073345259391771,2022
#0e101c,4,0.7155635062611807,2022
#0b0b0b,4,0.7155635062611807,2022
#050402,4,0.7155635062611807,2022
#f1f1f1,4,0.7155635062611807,2022
#030409,4,0.7155635062611807,2022
#08090b,4,0.7155635062611807,2022
#0c0201,4,0.7155635062611807,2022
#0e0e0e,4,0.7155635062611807,2022
#0d0d0f,4,0.7155635062611807,2022
#111111,4,0.7155635062611807,2022
#030305,4,0.7155635062611807,2022
#070506,4,0.7155635062611807,2022
#040308,4,0.7155635062611807,2022
#3d6f7a,2,0.35778175313059035,2022
#40adef,2,0.35778175313059035,2022
#010207,2,0.35778175313059035,2022
#45533b,2,0.35778175313059035,2022
#f2ede9,2,0.35778175313059035,2022
#010e16,2,0.35778175313059035,2022
#0089cd,2,0.35778175313059035,2022
#a5998b,2,0.35778175313059035,2022
#000709,2,0.35778175313059035,2022
#f9f2eb,2,0.35778175313059035,2022
#ff3929,2,0.35778175313059035,2022
#fffefa,2,0.35778175313059035,2022
#c6d2de,2,0.35778175313059035,2022
#8a99d0,2,0.35778175313059035,2022
#e2e2e2,2,0.35778175313059035,2022
#070a13,2,0.35778175313059035,2022
#2f3124,2,0.35778175313059035,2022
#b7cdc1,2,0.35778175313059035,2022
#f5fdff,2,0.35778175313059035,2022
#15191a,2,0.35778175313059035,2022
#396bb4,2,0.35778175313059035,2022
#eae3d9,2,0.35778175313059035,2022
#26150d,2,0.35778175313059035,2022
#040c19,2,0.35778175313059035,2022
#f3ece2,2,0.35778175313059035,2022
#020204,2,0.35778175313059035,2022
#c9060a,2,0.35778175313059035,2022
#f1fff2,2,0.35778175313059035,2022
#e2f0f1,2,0.35778175313059035,2022
#025152,2,0.35778175313059035,2022
#b2ccc3,2,0.35778175313059035,2022
#0a0200,2,0.35778175313059035,2022
#f8f5ee,2,0.35778175313059035,2022
#006eb9,2,0.35778175313059035,2022
#1f0101,2,0.35778175313059035,2022
#9a9fb3,2,0.35778175313059035,2022
#01070b,2,0.35778175313059035,2022
#60442e,2,0.35778175313059035,2022
#0f1339,2,0.35778175313059035,2022
#fdfcf7,2,0.35778175313059035,2022
#28263c,2,0.35778175313059035,2022
#b4524a,2,0.35778175313059035,2022
#c40002,2,0.35778175313059035,2022
#f40000,2,0.35778175313059035,2022
#080808,2,0.35778175313059035,2022
#031718,2,0.35778175313059035,2022
#13080e,2,0.35778175313059035,2022
#263b34,2,0.35778175313059035,2022
#01061a,2,0.35778175313059035,2022
#10070a,2,0.35778175313059035,2022
#14353c,2,0.35778175313059035,2022
#000b15,2,0.35778175313059035,2022
#1b100a,2,0.35778175313059035,2022
#9daaaa,2,0.35778175313059035,2022
#050a1d,2,0.35778175313059035,2022
#ebe7e8,2,0.35778175313059035,2022
#f4bc9b,2,0.35778175313059035,2022
#1b1c20,2,0.35778175313059035,2022
#1c0c0d,2,0.35778175313059035,2022
#5d3722,2,0.35778175313059035,2022
#e8e9ed,2,0.35778175313059035,2022
#e06581,2,0.35778175313059035,2022
#a33769,2,0.35778175313059035,2022
#3b0807,2,0.35778175313059035,2022
#523622,2,0.35778175313059035,2022
#c9e2f6,2,0.35778175313059035,2022
#010005,2,0.35778175313059035,2022
#252e3f,2,0.35778175313059035,2022
#2398f9,2,0.35778175313059035,2022
#0a0e11,2,0.35778175313059035,2022
#e9ac80,2,0.35778175313059035,2022
#ffdc76,2,0.35778175313059035,2022
#3b342d,2,0.35778175313059035,2022
#f8f2e8,2,0.35778175313059035,2022
#1bacc9,2,0.35778175313059035,2022
#0e1e2b,2,0.35778175313059035,2022
#111725,2,0.35778175313059035,2022
