Color,Count,Percentage,Year
#000000,108,36.610169491525426,2002
#ffffff,67,22.71186440677966,2002
#010101,13,4.406779661016949,2002
#000002,3,1.0169491525423728,2002
#fdfdfd,3,1.0169491525423728,2002
#020202,2,0.6779661016949152,2002
#010103,2,0.6779661016949152,2002
#030303,2,0.6779661016949152,2002
#010005,2,0.6779661016949152,2002
#070508,2,0.6779661016949152,2002
#080c0d,2,0.6779661016949152,2002
#0b0c06,1,0.3389830508474576,2002
#000008,1,0.3389830508474576,2002
#c61915,1,0.3389830508474576,2002
#e33a27,1,0.3389830508474576,2002
#f78384,1,0.3389830508474576,2002
#01afe4,1,0.3389830508474576,2002
#0d0d0f,1,0.3389830508474576,2002
#f3d600,1,0.3389830508474576,2002
#01bdeb,1,0.3389830508474576,2002
#fecd06,1,0.3389830508474576,2002
#030305,1,0.3389830508474576,2002
#070101,1,0.3389830508474576,2002
#fcf8f7,1,0.3389830508474576,2002
#d54c18,1,0.3389830508474576,2002
#73d0e2,1,0.3389830508474576,2002
#f7f6f1,1,0.3389830508474576,2002
#beb7af,1,0.3389830508474576,2002
#e42423,1,0.3389830508474576,2002
#d3ccb6,1,0.3389830508474576,2002
#140d07,1,0.3389830508474576,2002
#afc906,1,0.3389830508474576,2002
#246024,1,0.3389830508474576,2002
#89bde5,1,0.3389830508474576,2002
#0c0608,1,0.3389830508474576,2002
#5a1921,1,0.3389830508474576,2002
#e99f09,1,0.3389830508474576,2002
#060405,1,0.3389830508474576,2002
#0d0c12,1,0.3389830508474576,2002
#e7e7e7,1,0.3389830508474576,2002
#47b5d9,1,0.3389830508474576,2002
#050000,1,0.3389830508474576,2002
#22181e,1,0.3389830508474576,2002
#100e0f,1,0.3389830508474576,2002
#050801,1,0.3389830508474576,2002
#d30e05,1,0.3389830508474576,2002
#120101,1,0.3389830508474576,2002
#110d0c,1,0.3389830508474576,2002
#020001,1,0.3389830508474576,2002
#36a1d9,1,0.3389830508474576,2002
#d4e3cc,1,0.3389830508474576,2002
#080806,1,0.3389830508474576,2002
#100f15,1,0.3389830508474576,2002
#f6f3e0,1,0.3389830508474576,2002
#01160d,1,0.3389830508474576,2002
#151714,1,0.3389830508474576,2002
#0a0b0d,1,0.3389830508474576,2002
#060805,1,0.3389830508474576,2002
#f2ecee,1,0.3389830508474576,2002
#03030f,1,0.3389830508474576,2002
#f4f4f6,1,0.3389830508474576,2002
#050608,1,0.3389830508474576,2002
#180302,1,0.3389830508474576,2002
#858d98,1,0.3389830508474576,2002
#f3e234,1,0.3389830508474576,2002
#acc6eb,1,0.3389830508474576,2002
#ff0000,1,0.3389830508474576,2002
#fdfeff,1,0.3389830508474576,2002
#d8d91b,1,0.3389830508474576,2002
#0c1514,1,0.3389830508474576,2002
#7e4a7d,1,0.3389830508474576,2002
#060606,1,0.3389830508474576,2002
#507fc7,1,0.3389830508474576,2002
#010010,1,0.3389830508474576,2002
#f5f5f5,1,0.3389830508474576,2002
#ebe0de,1,0.3389830508474576,2002
#08090b,1,0.3389830508474576,2002
#fed65a,1,0.3389830508474576,2002
#090b0d,1,0.3389830508474576,2002
#c30020,1,0.3389830508474576,2002
#1f1f1f,1,0.3389830508474576,2002
#132c30,1,0.3389830508474576,2002
#0a99d5,1,0.3389830508474576,2002
#ad2b2b,1,0.3389830508474576,2002
#1e1516,1,0.3389830508474576,2002
#161711,1,0.3389830508474576,2002
#b9eff9,1,0.3389830508474576,2002
#2b7870,1,0.3389830508474576,2002
#473c38,1,0.3389830508474576,2002
#5760bb,1,0.3389830508474576,2002
#110e09,1,0.3389830508474576,2002
#e8e3cf,1,0.3389830508474576,2002
#025388,1,0.3389830508474576,2002
#f9ec24,1,0.3389830508474576,2002
#00030a,1,0.3389830508474576,2002
#050505,1,0.3389830508474576,2002
#035d8f,1,0.3389830508474576,2002
#d1495f,1,0.3389830508474576,2002
#60002e,1,0.3389830508474576,2002
#151419,1,0.3389830508474576,2002
