Color,Count,Percentage,Year
#000000,192,28.915662650602407,2018
#ffffff,174,26.20481927710843,2018
#010101,34,5.120481927710843,2018
#020202,14,2.108433734939759,2018
#040404,8,1.2048192771084338,2018
#010103,8,1.2048192771084338,2018
#03070a,6,0.9036144578313252,2018
#020001,6,0.9036144578313252,2018
#101010,6,0.9036144578313252,2018
#080808,6,0.9036144578313252,2018
#050505,6,0.9036144578313252,2018
#060606,6,0.9036144578313252,2018
#080b10,4,0.6024096385542169,2018
#04080b,4,0.6024096385542169,2018
#07080a,4,0.6024096385542169,2018
#0a0d12,4,0.6024096385542169,2018
#030104,4,0.6024096385542169,2018
#030303,4,0.6024096385542169,2018
#000002,4,0.6024096385542169,2018
#0e1118,4,0.6024096385542169,2018
#020609,4,0.6024096385542169,2018
#100f0d,4,0.6024096385542169,2018
#010302,4,0.6024096385542169,2018
#a8afc1,2,0.30120481927710846,2018
#828e88,2,0.30120481927710846,2018
#021c1b,2,0.30120481927710846,2018
#1b161a,2,0.30120481927710846,2018
#161616,2,0.30120481927710846,2018
#bbc5d1,2,0.30120481927710846,2018
#ebeef3,2,0.30120481927710846,2018
#00abfe,2,0.30120481927710846,2018
#91141a,2,0.30120481927710846,2018
#edeee8,2,0.30120481927710846,2018
#efbf70,2,0.30120481927710846,2018
#e2e2e2,2,0.30120481927710846,2018
#2c2e2b,2,0.30120481927710846,2018
#070405,2,0.30120481927710846,2018
#56798d,2,0.30120481927710846,2018
#313e82,2,0.30120481927710846,2018
#a1acbe,2,0.30120481927710846,2018
#03080e,2,0.30120481927710846,2018
#f0e6e4,2,0.30120481927710846,2018
#042840,2,0.30120481927710846,2018
#e6edf3,2,0.30120481927710846,2018
#eef9fd,2,0.30120481927710846,2018
#080d0b,2,0.30120481927710846,2018
#f4fef6,2,0.30120481927710846,2018
#ffffe3,2,0.30120481927710846,2018
#f6efe5,2,0.30120481927710846,2018
#292c25,2,0.30120481927710846,2018
#31507c,2,0.30120481927710846,2018
#d95024,2,0.30120481927710846,2018
#b0b0ae,2,0.30120481927710846,2018
#fef6eb,2,0.30120481927710846,2018
#e8cec1,2,0.30120481927710846,2018
#370808,2,0.30120481927710846,2018
#e8dfce,2,0.30120481927710846,2018
#e9e0bf,2,0.30120481927710846,2018
#cfceca,2,0.30120481927710846,2018
#172540,2,0.30120481927710846,2018
#f2f6f9,2,0.30120481927710846,2018
#b60000,2,0.30120481927710846,2018
#e2c73c,2,0.30120481927710846,2018
#010005,2,0.30120481927710846,2018
#000e11,2,0.30120481927710846,2018
#010c39,2,0.30120481927710846,2018
#012136,2,0.30120481927710846,2018
#021d3a,2,0.30120481927710846,2018
#0a1420,2,0.30120481927710846,2018
#111c30,2,0.30120481927710846,2018
#42270e,2,0.30120481927710846,2018
#1b1a18,2,0.30120481927710846,2018
#f3f9f5,2,0.30120481927710846,2018
#1e2e13,2,0.30120481927710846,2018
#090d16,2,0.30120481927710846,2018
#3c3c3c,2,0.30120481927710846,2018
#0e1215,2,0.30120481927710846,2018
#0d1d1d,2,0.30120481927710846,2018
#0e191f,2,0.30120481927710846,2018
#b12107,2,0.30120481927710846,2018
#b8ab9a,2,0.30120481927710846,2018
#120c0e,2,0.30120481927710846,2018
#201c19,2,0.30120481927710846,2018
#eae8eb,2,0.30120481927710846,2018
#f0efeb,2,0.30120481927710846,2018
#fdb803,2,0.30120481927710846,2018
#c19e8b,2,0.30120481927710846,2018
#29221c,2,0.30120481927710846,2018
#00000e,2,0.30120481927710846,2018
#001740,2,0.30120481927710846,2018
#fff0dd,2,0.30120481927710846,2018
#0b0b09,2,0.30120481927710846,2018
#3c60aa,2,0.30120481927710846,2018
#9a2424,2,0.30120481927710846,2018
#222430,2,0.30120481927710846,2018
#1e1915,2,0.30120481927710846,2018
#220f0b,2,0.30120481927710846,2018
#eef0ef,2,0.30120481927710846,2018
#cbf1fe,2,0.30120481927710846,2018
#040807,2,0.30120481927710846,2018
