Color,Count,Percentage,Year
#000000,128,36.46723646723647,2008
#ffffff,92,26.21082621082621,2008
#010101,20,5.698005698005698,2008
#fefefe,6,1.7094017094017095,2008
#030303,3,0.8547008547008548,2008
#050505,2,0.5698005698005698,2008
#0a0a0c,2,0.5698005698005698,2008
#010103,2,0.5698005698005698,2008
#fcfcfc,2,0.5698005698005698,2008
#050102,2,0.5698005698005698,2008
#fdfdfd,2,0.5698005698005698,2008
#010005,2,0.5698005698005698,2008
#fcfcfa,1,0.2849002849002849,2008
#191111,1,0.2849002849002849,2008
#e8e8e8,1,0.2849002849002849,2008
#d8222e,1,0.2849002849002849,2008
#100c0d,1,0.2849002849002849,2008
#362e23,1,0.2849002849002849,2008
#131009,1,0.2849002849002849,2008
#352a3b,1,0.2849002849002849,2008
#040404,1,0.2849002849002849,2008
#010e14,1,0.2849002849002849,2008
#fddb07,1,0.2849002849002849,2008
#0029b5,1,0.2849002849002849,2008
#160201,1,0.2849002849002849,2008
#020901,1,0.2849002849002849,2008
#fedfa9,1,0.2849002849002849,2008
#e8dfd7,1,0.2849002849002849,2008
#f8efdb,1,0.2849002849002849,2008
#facdd8,1,0.2849002849002849,2008
#0d1213,1,0.2849002849002849,2008
#f5ce4d,1,0.2849002849002849,2008
#fef5e4,1,0.2849002849002849,2008
#7d0000,1,0.2849002849002849,2008
#5b1219,1,0.2849002849002849,2008
#ea0911,1,0.2849002849002849,2008
#090911,1,0.2849002849002849,2008
#404d79,1,0.2849002849002849,2008
#0b0c0e,1,0.2849002849002849,2008
#c73125,1,0.2849002849002849,2008
#f30f0e,1,0.2849002849002849,2008
#111111,1,0.2849002849002849,2008
#080d07,1,0.2849002849002849,2008
#14130f,1,0.2849002849002849,2008
#971a1e,1,0.2849002849002849,2008
#f4f4f4,1,0.2849002849002849,2008
#131603,1,0.2849002849002849,2008
#01040d,1,0.2849002849002849,2008
#becece,1,0.2849002849002849,2008
#e63726,1,0.2849002849002849,2008
#cbcfc1,1,0.2849002849002849,2008
#040406,1,0.2849002849002849,2008
#dcffff,1,0.2849002849002849,2008
#020808,1,0.2849002849002849,2008
#120c0e,1,0.2849002849002849,2008
#1c1920,1,0.2849002849002849,2008
#ded6c9,1,0.2849002849002849,2008
#f0efed,1,0.2849002849002849,2008
#110101,1,0.2849002849002849,2008
#0f0f0f,1,0.2849002849002849,2008
#f8f6f7,1,0.2849002849002849,2008
#d59c11,1,0.2849002849002849,2008
#5caddc,1,0.2849002849002849,2008
#050608,1,0.2849002849002849,2008
#08090e,1,0.2849002849002849,2008
#e73993,1,0.2849002849002849,2008
#0a0406,1,0.2849002849002849,2008
#fed102,1,0.2849002849002849,2008
#0a0907,1,0.2849002849002849,2008
#241613,1,0.2849002849002849,2008
#0b0b0b,1,0.2849002849002849,2008
#10121e,1,0.2849002849002849,2008
#00000c,1,0.2849002849002849,2008
#850000,1,0.2849002849002849,2008
#040203,1,0.2849002849002849,2008
#67a4d1,1,0.2849002849002849,2008
#030104,1,0.2849002849002849,2008
#2468b1,1,0.2849002849002849,2008
#0d0c12,1,0.2849002849002849,2008
#f7f7f7,1,0.2849002849002849,2008
#8a2768,1,0.2849002849002849,2008
#07060b,1,0.2849002849002849,2008
#f0eeef,1,0.2849002849002849,2008
#196fa0,1,0.2849002849002849,2008
#025e27,1,0.2849002849002849,2008
#050706,1,0.2849002849002849,2008
#0a0a0a,1,0.2849002849002849,2008
#d7e9f3,1,0.2849002849002849,2008
#202b34,1,0.2849002849002849,2008
#020204,1,0.2849002849002849,2008
#e20001,1,0.2849002849002849,2008
#202125,1,0.2849002849002849,2008
#0066dc,1,0.2849002849002849,2008
#070304,1,0.2849002849002849,2008
#f8f7f5,1,0.2849002849002849,2008
#000011,1,0.2849002849002849,2008
#f0f0ef,1,0.2849002849002849,2008
#f1f5f8,1,0.2849002849002849,2008
#fef8d4,1,0.2849002849002849,2008
#f1edea,1,0.2849002849002849,2008
