Color,Count,Percentage,Year
#000000,122,33.88888888888889,2007
#ffffff,96,26.666666666666668,2007
#010101,19,5.277777777777778,2007
#fefefe,8,2.2222222222222223,2007
#020202,4,1.1111111111111112,2007
#fdfdfd,4,1.1111111111111112,2007
#050505,3,0.8333333333333334,2007
#fbfbfb,3,0.8333333333333334,2007
#030504,2,0.5555555555555556,2007
#07080d,2,0.5555555555555556,2007
#010207,2,0.5555555555555556,2007
#fafafa,2,0.5555555555555556,2007
#050608,2,0.5555555555555556,2007
#030303,2,0.5555555555555556,2007
#04080b,2,0.5555555555555556,2007
#000002,2,0.5555555555555556,2007
#f4f7fc,2,0.5555555555555556,2007
#b70101,1,0.2777777777777778,2007
#0e1424,1,0.2777777777777778,2007
#060201,1,0.2777777777777778,2007
#f6ef00,1,0.2777777777777778,2007
#860023,1,0.2777777777777778,2007
#ebe0b3,1,0.2777777777777778,2007
#270e02,1,0.2777777777777778,2007
#ae0002,1,0.2777777777777778,2007
#060604,1,0.2777777777777778,2007
#070506,1,0.2777777777777778,2007
#8868ab,1,0.2777777777777778,2007
#f5f2eb,1,0.2777777777777778,2007
#fcffff,1,0.2777777777777778,2007
#25406f,1,0.2777777777777778,2007
#f1f0d4,1,0.2777777777777778,2007
#482a13,1,0.2777777777777778,2007
#210e12,1,0.2777777777777778,2007
#070208,1,0.2777777777777778,2007
#205d0b,1,0.2777777777777778,2007
#0c0b09,1,0.2777777777777778,2007
#e6e1e5,1,0.2777777777777778,2007
#e7e2dc,1,0.2777777777777778,2007
#1e0103,1,0.2777777777777778,2007
#07080a,1,0.2777777777777778,2007
#d4d9dc,1,0.2777777777777778,2007
#0c0203,1,0.2777777777777778,2007
#feb800,1,0.2777777777777778,2007
#1b111a,1,0.2777777777777778,2007
#091718,1,0.2777777777777778,2007
#267886,1,0.2777777777777778,2007
#0d0d0d,1,0.2777777777777778,2007
#0b0b09,1,0.2777777777777778,2007
#010504,1,0.2777777777777778,2007
#0083b7,1,0.2777777777777778,2007
#2a1f1b,1,0.2777777777777778,2007
#080f15,1,0.2777777777777778,2007
#121212,1,0.2777777777777778,2007
#151410,1,0.2777777777777778,2007
#0e0f19,1,0.2777777777777778,2007
#020005,1,0.2777777777777778,2007
#21266a,1,0.2777777777777778,2007
#020305,1,0.2777777777777778,2007
#dc9955,1,0.2777777777777778,2007
#d7d6c9,1,0.2777777777777778,2007
#7f4032,1,0.2777777777777778,2007
#f3c62d,1,0.2777777777777778,2007
#020001,1,0.2777777777777778,2007
#e4dad8,1,0.2777777777777778,2007
#131313,1,0.2777777777777778,2007
#0263af,1,0.2777777777777778,2007
#0373bd,1,0.2777777777777778,2007
#040404,1,0.2777777777777778,2007
#a2462e,1,0.2777777777777778,2007
#f3e5b6,1,0.2777777777777778,2007
#f3f3f3,1,0.2777777777777778,2007
#110602,1,0.2777777777777778,2007
#e10164,1,0.2777777777777778,2007
#f2f7fd,1,0.2777777777777778,2007
#fefefc,1,0.2777777777777778,2007
#02050e,1,0.2777777777777778,2007
#d17510,1,0.2777777777777778,2007
#9f170b,1,0.2777777777777778,2007
#3e3f41,1,0.2777777777777778,2007
#f5a9b8,1,0.2777777777777778,2007
#9edae2,1,0.2777777777777778,2007
#fff71e,1,0.2777777777777778,2007
#020100,1,0.2777777777777778,2007
#010005,1,0.2777777777777778,2007
#1a1b15,1,0.2777777777777778,2007
#e00024,1,0.2777777777777778,2007
#be0026,1,0.2777777777777778,2007
#fcfefd,1,0.2777777777777778,2007
#e7e5d0,1,0.2777777777777778,2007
#473e3f,1,0.2777777777777778,2007
#8d87a7,1,0.2777777777777778,2007
#141414,1,0.2777777777777778,2007
#d8e4eb,1,0.2777777777777778,2007
#cad123,1,0.2777777777777778,2007
#faf8f9,1,0.2777777777777778,2007
#00041d,1,0.2777777777777778,2007
#080808,1,0.2777777777777778,2007
#070707,1,0.2777777777777778,2007
#f1f1f1,1,0.2777777777777778,2007
