Color,Count,Percentage,Year
#000000,127,36.91860465116279,2005
#ffffff,92,26.744186046511626,2005
#010101,17,4.941860465116279,2005
#020202,6,1.744186046511628,2005
#010005,3,0.872093023255814,2005
#040404,2,0.5813953488372093,2005
#020403,2,0.5813953488372093,2005
#fdfdfd,2,0.5813953488372093,2005
#fefefe,2,0.5813953488372093,2005
#d6c3a3,1,0.29069767441860467,2005
#386698,1,0.29069767441860467,2005
#afb6bc,1,0.29069767441860467,2005
#07050a,1,0.29069767441860467,2005
#244b98,1,0.29069767441860467,2005
#130e0b,1,0.29069767441860467,2005
#e84f01,1,0.29069767441860467,2005
#131311,1,0.29069767441860467,2005
#121711,1,0.29069767441860467,2005
#fcfdff,1,0.29069767441860467,2005
#14130e,1,0.29069767441860467,2005
#3952a4,1,0.29069767441860467,2005
#013159,1,0.29069767441860467,2005
#f9f9fb,1,0.29069767441860467,2005
#1f2324,1,0.29069767441860467,2005
#0d0d0b,1,0.29069767441860467,2005
#fbfbfb,1,0.29069767441860467,2005
#010302,1,0.29069767441860467,2005
#02020c,1,0.29069767441860467,2005
#191514,1,0.29069767441860467,2005
#070d0b,1,0.29069767441860467,2005
#070705,1,0.29069767441860467,2005
#000002,1,0.29069767441860467,2005
#010103,1,0.29069767441860467,2005
#f72001,1,0.29069767441860467,2005
#191411,1,0.29069767441860467,2005
#f38128,1,0.29069767441860467,2005
#030502,1,0.29069767441860467,2005
#87d3eb,1,0.29069767441860467,2005
#0c0200,1,0.29069767441860467,2005
#008ece,1,0.29069767441860467,2005
#a1cdf1,1,0.29069767441860467,2005
#f2fefe,1,0.29069767441860467,2005
#04070c,1,0.29069767441860467,2005
#fcfcfc,1,0.29069767441860467,2005
#0d0713,1,0.29069767441860467,2005
#040000,1,0.29069767441860467,2005
#020001,1,0.29069767441860467,2005
#fcfbf6,1,0.29069767441860467,2005
#040615,1,0.29069767441860467,2005
#f5f3a8,1,0.29069767441860467,2005
#181818,1,0.29069767441860467,2005
#121212,1,0.29069767441860467,2005
#50757b,1,0.29069767441860467,2005
#7a98be,1,0.29069767441860467,2005
#54cad1,1,0.29069767441860467,2005
#090909,1,0.29069767441860467,2005
#074f5e,1,0.29069767441860467,2005
#070709,1,0.29069767441860467,2005
#efedd8,1,0.29069767441860467,2005
#000115,1,0.29069767441860467,2005
#c7c6c1,1,0.29069767441860467,2005
#ffaa0f,1,0.29069767441860467,2005
#f5f6f8,1,0.29069767441860467,2005
#080808,1,0.29069767441860467,2005
#1061b2,1,0.29069767441860467,2005
#e5eff6,1,0.29069767441860467,2005
#f9f9f9,1,0.29069767441860467,2005
#efeeea,1,0.29069767441860467,2005
#fdfbfc,1,0.29069767441860467,2005
#09070b,1,0.29069767441860467,2005
#04050a,1,0.29069767441860467,2005
#090e12,1,0.29069767441860467,2005
#383433,1,0.29069767441860467,2005
#eceaed,1,0.29069767441860467,2005
#f7fcf6,1,0.29069767441860467,2005
#bbd3d7,1,0.29069767441860467,2005
#06050a,1,0.29069767441860467,2005
#4f7487,1,0.29069767441860467,2005
#398acb,1,0.29069767441860467,2005
#0d0d11,1,0.29069767441860467,2005
#0375b4,1,0.29069767441860467,2005
#f6424e,1,0.29069767441860467,2005
#000003,1,0.29069767441860467,2005
#d1d2d6,1,0.29069767441860467,2005
#2e431a,1,0.29069767441860467,2005
#fefcfd,1,0.29069767441860467,2005
#09070c,1,0.29069767441860467,2005
#ecae2f,1,0.29069767441860467,2005
#f6f1de,1,0.29069767441860467,2005
#080b10,1,0.29069767441860467,2005
#ddf1f8,1,0.29069767441860467,2005
#9d0205,1,0.29069767441860467,2005
#050004,1,0.29069767441860467,2005
#50429a,1,0.29069767441860467,2005
#cbcfc0,1,0.29069767441860467,2005
#332022,1,0.29069767441860467,2005
#ffffeb,1,0.29069767441860467,2005
#050505,1,0.29069767441860467,2005
#1a191e,1,0.29069767441860467,2005
#f6f6ea,1,0.29069767441860467,2005
