Color,Count,Percentage,Year
#000000,121,34.87031700288185,2006
#ffffff,89,25.64841498559078,2006
#010101,18,5.187319884726225,2006
#020202,6,1.729106628242075,2006
#fefefe,5,1.440922190201729,2006
#030102,4,1.1527377521613833,2006
#050505,3,0.8645533141210375,2006
#fdfdfd,3,0.8645533141210375,2006
#050706,2,0.5763688760806917,2006
#030200,2,0.5763688760806917,2006
#fafafa,2,0.5763688760806917,2006
#030303,2,0.5763688760806917,2006
#040404,2,0.5763688760806917,2006
#040203,2,0.5763688760806917,2006
#c7c7c7,1,0.2881844380403458,2006
#09090b,1,0.2881844380403458,2006
#872441,1,0.2881844380403458,2006
#ddeaf3,1,0.2881844380403458,2006
#020208,1,0.2881844380403458,2006
#c2beb2,1,0.2881844380403458,2006
#1081c5,1,0.2881844380403458,2006
#f3cedf,1,0.2881844380403458,2006
#010204,1,0.2881844380403458,2006
#08090b,1,0.2881844380403458,2006
#2d5ba9,1,0.2881844380403458,2006
#fef2ca,1,0.2881844380403458,2006
#d66b2a,1,0.2881844380403458,2006
#a14437,1,0.2881844380403458,2006
#ce9f18,1,0.2881844380403458,2006
#050100,1,0.2881844380403458,2006
#fdde75,1,0.2881844380403458,2006
#0c0c04,1,0.2881844380403458,2006
#cff9f8,1,0.2881844380403458,2006
#1b251d,1,0.2881844380403458,2006
#c7eefd,1,0.2881844380403458,2006
#fdf7eb,1,0.2881844380403458,2006
#e3e2dd,1,0.2881844380403458,2006
#0e0f07,1,0.2881844380403458,2006
#d6d7ab,1,0.2881844380403458,2006
#3f2838,1,0.2881844380403458,2006
#543930,1,0.2881844380403458,2006
#000839,1,0.2881844380403458,2006
#01528a,1,0.2881844380403458,2006
#01468b,1,0.2881844380403458,2006
#140e0e,1,0.2881844380403458,2006
#010005,1,0.2881844380403458,2006
#0c0b09,1,0.2881844380403458,2006
#15140f,1,0.2881844380403458,2006
#e61b31,1,0.2881844380403458,2006
#04050a,1,0.2881844380403458,2006
#c4c3eb,1,0.2881844380403458,2006
#020001,1,0.2881844380403458,2006
#0661b0,1,0.2881844380403458,2006
#4a120f,1,0.2881844380403458,2006
#281310,1,0.2881844380403458,2006
#050608,1,0.2881844380403458,2006
#1178a1,1,0.2881844380403458,2006
#0a152b,1,0.2881844380403458,2006
#fdfce8,1,0.2881844380403458,2006
#f0eeef,1,0.2881844380403458,2006
#0c0c0c,1,0.2881844380403458,2006
#00658d,1,0.2881844380403458,2006
#dceff8,1,0.2881844380403458,2006
#0b0505,1,0.2881844380403458,2006
#008dcd,1,0.2881844380403458,2006
#fd0708,1,0.2881844380403458,2006
#4a494e,1,0.2881844380403458,2006
#110c12,1,0.2881844380403458,2006
#201f1c,1,0.2881844380403458,2006
#040406,1,0.2881844380403458,2006
#10151b,1,0.2881844380403458,2006
#080808,1,0.2881844380403458,2006
#d7e9f3,1,0.2881844380403458,2006
#474720,1,0.2881844380403458,2006
#2b0001,1,0.2881844380403458,2006
#08070c,1,0.2881844380403458,2006
#20151b,1,0.2881844380403458,2006
#421f11,1,0.2881844380403458,2006
#0e0d09,1,0.2881844380403458,2006
#07080a,1,0.2881844380403458,2006
#070508,1,0.2881844380403458,2006
#030409,1,0.2881844380403458,2006
#1d1f4b,1,0.2881844380403458,2006
#32210f,1,0.2881844380403458,2006
#b5b7b2,1,0.2881844380403458,2006
#1c4148,1,0.2881844380403458,2006
#1c0201,1,0.2881844380403458,2006
#0e1849,1,0.2881844380403458,2006
#041725,1,0.2881844380403458,2006
#020106,1,0.2881844380403458,2006
#fed130,1,0.2881844380403458,2006
#161415,1,0.2881844380403458,2006
#140f13,1,0.2881844380403458,2006
#120c0e,1,0.2881844380403458,2006
#0056a1,1,0.2881844380403458,2006
#7d6ca2,1,0.2881844380403458,2006
#8c7450,1,0.2881844380403458,2006
#eed8cd,1,0.2881844380403458,2006
#fcfefb,1,0.2881844380403458,2006
#fdfffe,1,0.2881844380403458,2006
